指令,指令类型,指令编码,funct,指令格式,指令功能,PC,IM,IF/ID,Register,ImmExtend,Control,Decoder,ForwardUnit,Jump&Branch,ID/EX,ALU,MUX,EXE/MEM,DM,EXE/WB,WB,StallController
ADDIU,I,01001XXXIIIIIIII,,ADDIU rx immediate,R[x]←R[x]+sign_extend(immediate),PC←PC+4,"A←rx, B←sign_extend(immediate)",C←A+B,,rx←C,00,000,1,0,0,0,0,0,1,,,
ADDIU3,I,01000XXXYYY0IIII,4:4,ADDIU3 rx ry immediate,R[y]←R[x]+sign_extend(immediate),PC←PC+4,"A←rx, B←sign_extend(immediate)",C←A+B,,ry←C,00,000,1,0,0,0,0,0,1,,,
ADDSP,I,01100011IIIIIIII,10:8,ADDSP immediate,SP←SP+sign_extend(immediate),PC←PC+4,"A←SP, B←sign_extend(immediate)",C←A+B,,SP←C,00,000,1,0,0,0,0,0,1,,,
ADDU,R,11100XXXYYYZZZ01,1:0,ADDU rx ry rz,R[z]←R[x]+R[y],PC←PC+4,"A←rx, B←ry",C←A+B,,rz←C,00,000,0,0,0,0,0,0,1,,,
AND,R,11101XXXYYY01100,4:0,AND rx ry,R[x]←R[x]&R[y],PC←PC+4,"A←rx, B←ry",C←rx&ry,,rx←C,00,010,0,0,0,0,0,0,1,,,
B,B,00010IIIIIIIIIII,,B immediate,PC←PC+sign_extend(immediate),PC←PC+4,"A←sign_extend(immediate), B←A<<2, C←PC+B, PC←C",,,,01,000,0,0,0,0,0,0,0,,,
BEQZ,B,00100XXXIIIIIIII,,BEQZ rx immediate,if (R[x]=0) then PC←PC+sign_extend(immediate),PC←PC+4,"A←rx, if (A=0) B←sign_extend(immediate), C←B<<2,D←PC+C,PC←D",,,,01,000,0,0,0,0,0,0,0,,,
BNEZ,B,00101XXXIIIIIIII,,BNEZ rx immediate,if (R[x]!=0) then PC←PC+sign_extend(immediate),PC←PC+4,"A←rx, if (A!=0) B←sign_extend(immediate), C←B<<2,D←PC+C,PC←D",,,,01,000,0,0,0,0,0,0,0,,,
BTEQZ,B,01100000IIIIIIII,,BTEQZ immediate,if (T=0) then PC←PC+sign_extend(immediate),PC←PC+4,"if(T=0) A←sign_extend(immediate), B←A<<2, C←PC+B, PC←C",,,,01,000,0,0,0,0,0,0,0,,,
CMP,R,11101XXXYYY01010,4:0,CMP rx ry,T←(R[x]!=R[y]),PC←PC+4,"A←rx, B←ry",if (A!=B)T=1 else T=0,,,00,001,0,1,1,0,0,0,0,,,
